position,TerrainSlope,lon,lat
0.0,2.467366,-150.241186,-85.770497
0.005744,2.903834,-150.23871,-85.770547
0.011488,3.254823,-150.236234,-85.770598
0.017232,3.424775,-150.233758,-85.770648
0.022976,3.487009,-150.231281,-85.770698
0.02872,3.5237,-150.228805,-85.770749
0.034464,3.560541,-150.226329,-85.770799
0.040208,3.596787,-150.223852,-85.770849
0.045952,3.63361,-150.221376,-85.770899
0.051696,3.671118,-150.218899,-85.77095
0.05744,3.707936,-150.216422,-85.771
0.063184,3.745023,-150.213946,-85.77105
0.068928,3.771393,-150.211469,-85.771101
0.074672,3.759805,-150.208992,-85.771151
0.080416,3.739282,-150.206515,-85.771201
0.08616,3.769261,-150.204038,-85.771251
0.08659,3.769261,-150.203853,-85.771255
0.092334,3.773692,-150.201618,-85.771348
0.098078,3.77793,-150.199383,-85.771442
0.103822,3.751675,-150.197148,-85.771535
0.108484,3.705578,-150.195334,-85.771611
0.114228,3.728603,-150.193123,-85.771515
0.119972,3.729668,-150.190906,-85.771419
0.125717,3.731857,-150.188689,-85.771323
0.131461,3.734496,-150.186473,-85.771227
0.137205,3.738658,-150.18425,-85.771132
0.142949,3.744022,-150.182034,-85.771037
0.148693,3.667495,-150.179818,-85.770941
0.154437,3.158505,-150.177601,-85.770845
0.160181,2.406605,-150.175391,-85.770749
0.165925,2.07571,-150.173175,-85.770653
0.171669,2.06457,-150.170959,-85.770557
0.177413,2.060853,-150.168743,-85.770461
0.183157,2.063891,-150.166522,-85.770366
0.188901,2.07431,-150.164306,-85.77027
0.194645,2.092264,-150.162091,-85.770175
0.200389,2.116937,-150.159881,-85.770078
0.206133,2.148509,-150.157666,-85.769982
0.211877,2.120688,-150.155445,-85.769887
0.217621,2.009788,-150.153229,-85.769791
0.223365,1.943991,-150.151014,-85.769695
0.229109,1.958365,-150.148799,-85.7696
0.234853,1.988443,-150.14659,-85.769503
0.240597,2.019409,-150.144376,-85.769407
0.246341,2.051882,-150.142155,-85.769312
0.252085,2.085708,-150.139947,-85.769215
0.257829,2.120234,-150.137726,-85.76912
0.263573,2.155906,-150.135518,-85.769024
0.269317,2.307442,-150.133298,-85.768928
0.275061,2.99903,-150.13109,-85.768832
0.280805,3.86691,-150.128875,-85.768736
0.286549,4.145036,-150.126662,-85.76864
0.292293,4.132706,-150.124448,-85.768544
0.298037,4.121224,-150.122234,-85.768448
0.303781,4.109757,-150.120015,-85.768353
0.309525,4.098128,-150.117801,-85.768257
0.315269,4.087538,-150.115588,-85.768161
0.321013,4.077309,-150.11338,-85.768064
0.326757,4.066835,-150.111161,-85.767969
0.332501,3.723516,-150.108948,-85.767873
0.338245,3.083163,-150.106741,-85.767777
0.343989,2.740953,-150.104522,-85.767681
0.349733,2.701051,-150.102309,-85.767585
0.355477,2.703988,-150.100102,-85.767489
0.361221,2.706971,-150.09789,-85.767393
0.366965,2.709952,-150.095677,-85.767297
0.372709,2.712947,-150.093459,-85.767201
0.378453,2.715957,-150.091252,-85.767105
0.384198,2.718836,-150.089034,-85.767009
0.389942,2.783985,-150.086822,-85.766913
0.395686,3.093783,-150.084616,-85.766817
0.40143,3.411634,-150.082404,-85.76672
0.407174,3.482892,-150.080186,-85.766625
0.412918,3.486488,-150.077981,-85.766528
0.418662,3.490055,-150.075769,-85.766432
0.424406,3.494375,-150.073557,-85.766336
0.43015,3.498674,-150.07134,-85.766241
0.435894,3.502245,-150.069129,-85.766145
0.441638,3.505608,-150.066923,-85.766048
0.447382,3.509388,-150.064712,-85.765952
0.453126,3.143079,-150.062495,-85.765857
0.45887,2.574658,-150.06029,-85.76576
0.464614,2.386791,-150.058074,-85.765664
0.470358,2.430005,-150.055869,-85.765568
0.476102,2.493663,-150.053652,-85.765472
0.481846,2.559314,-150.051442,-85.765376
0.48759,2.626777,-150.049231,-85.76528
0.493334,2.696913,-150.047021,-85.765184
0.499078,2.768777,-150.044817,-85.765087
0.504822,2.842032,-150.042607,-85.764991
0.510566,2.925313,-150.040391,-85.764895
0.51631,3.037279,-150.038187,-85.764798
0.522054,3.130968,-150.035971,-85.764703
0.527798,3.182655,-150.033761,-85.764607
0.533542,3.231093,-150.031557,-85.76451
0.539286,3.280025,-150.029348,-85.764414
0.54503,3.329202,-150.027139,-85.764318
0.550774,3.378738,-150.024929,-85.764221
0.556518,3.428878,-150.022714,-85.764126
0.562262,3.480121,-150.020505,-85.76403
0.568006,3.530961,-150.018302,-85.763933
0.57375,3.660731,-150.016087,-85.763837
0.579494,3.78958,-150.013884,-85.76374
0.585238,3.770333,-150.011675,-85.763644
0.590982,3.691633,-150.009461,-85.763549
0.596726,3.614617,-150.007258,-85.763452
0.60247,3.539069,-150.00505,-85.763355
0.608214,3.465381,-150.002836,-85.76326
0.613958,3.393429,-150.000627,-85.763163
0.619702,3.323708,-149.998419,-85.763067
0.625446,3.256198,-149.996217,-85.76297
0.63119,3.374584,-149.994009,-85.762874
0.636934,4.057716,-149.991801,-85.762778
0.642679,4.593818,-149.989588,-85.762682
0.648423,4.572236,-149.98738,-85.762586
0.654167,4.551911,-149.985173,-85.762489
0.659911,4.53198,-149.982965,-85.762393
0.665655,4.512389,-149.980764,-85.762296
0.671399,4.493288,-149.978557,-85.7622
0.677143,4.475376,-149.97635,-85.762103
0.682887,4.458155,-149.974143,-85.762007
0.688631,4.386419,-149.971936,-85.761911
0.694375,3.413617,-149.969723,-85.761815
0.700119,2.317355,-149.967522,-85.761718
0.705863,2.12107,-149.965315,-85.761622
0.711607,2.152725,-149.963109,-85.761525
0.717351,2.185282,-149.960903,-85.761429
0.723095,2.218677,-149.958696,-85.761332
0.728839,2.252408,-149.95649,-85.761236
0.734583,2.28687,-149.954284,-85.76114
0.740327,2.322274,-149.952072,-85.761044
0.746071,2.373642,-149.949872,-85.760947
0.751815,2.714152,-149.947666,-85.76085
0.757559,3.619325,-149.945455,-85.760755
0.763303,4.233327,-149.943249,-85.760658
0.769047,4.25066,-149.941049,-85.760561
0.774791,4.268652,-149.938838,-85.760465
0.780535,4.28673,-149.936639,-85.760368
0.786279,4.304699,-149.934433,-85.760272
0.792023,4.322807,-149.932222,-85.760176
0.797767,4.342263,-149.930023,-85.760079
0.803511,4.361482,-149.927818,-85.759982
0.809255,4.366481,-149.925614,-85.759886
0.814999,4.308751,-149.923409,-85.759789
0.820743,4.244763,-149.921198,-85.759694
0.826487,4.238963,-149.919,-85.759596
0.832231,4.24818,-149.916795,-85.7595
0.837975,4.257579,-149.914585,-85.759404
0.843719,4.267136,-149.912387,-85.759307
0.849463,4.277058,-149.910183,-85.75921
0.855207,4.286944,-149.907973,-85.759115
0.860951,4.296561,-149.905775,-85.759017
0.866695,4.285767,-149.903571,-85.758921
0.872439,4.113135,-149.901361,-85.758825
0.878183,3.772117,-149.899164,-85.758728
0.883927,3.582187,-149.896954,-85.758632
0.889671,3.566157,-149.894751,-85.758535
0.895415,3.550363,-149.892553,-85.758438
0.90116,3.534736,-149.89035,-85.758341
0.906904,3.519108,-149.888147,-85.758245
0.912648,3.503678,-149.885938,-85.758149
0.918392,3.488411,-149.883735,-85.758052
0.924136,3.473519,-149.881533,-85.757956
0.92988,3.464569,-149.879336,-85.757858
0.935624,3.476892,-149.877127,-85.757762
0.941368,3.513071,-149.874931,-85.757665
0.947112,3.559118,-149.872728,-85.757568
0.952856,3.60697,-149.870526,-85.757472
0.9586,3.655733,-149.868324,-85.757375
0.964344,3.705043,-149.866116,-85.757279
0.970088,3.755107,-149.86392,-85.757182
0.975832,3.806364,-149.861718,-85.757085
0.981576,3.85872,-149.859516,-85.756989
0.98732,3.958218,-149.857308,-85.756893
0.993064,4.325143,-149.855107,-85.756796
0.998808,4.879797,-149.852911,-85.756699
1.004552,5.110198,-149.85071,-85.756602
1.010296,5.060726,-149.848502,-85.756506
1.01604,5.01211,-149.846307,-85.756408
1.021784,4.964757,-149.8441,-85.756312
1.027528,4.919464,-149.841905,-85.756215
1.033272,4.874992,-149.839698,-85.756119
1.039016,4.832056,-149.837503,-85.756022
1.04476,4.791301,-149.835303,-85.755925
1.050504,4.627652,-149.833096,-85.755829
1.056248,4.285906,-149.830896,-85.755732
1.061992,4.060778,-149.828695,-85.755635
1.067736,4.044869,-149.826501,-85.755538
1.07348,4.071293,-149.824295,-85.755442
1.079224,4.097817,-149.8221,-85.755344
1.084968,4.124684,-149.819895,-85.755248
1.090712,4.151943,-149.817695,-85.755151
1.096456,4.180037,-149.815501,-85.755054
1.1022,4.209084,-149.813301,-85.754957
1.107944,4.214836,-149.811101,-85.75486
1.113688,4.111729,-149.808896,-85.754764
1.119432,3.956013,-149.806703,-85.754667
1.125176,3.880223,-149.804503,-85.75457
1.13092,3.852721,-149.802304,-85.754473
1.136664,3.825144,-149.800105,-85.754376
1.142408,3.798645,-149.797906,-85.754279
1.148152,3.772136,-149.795707,-85.754182
1.153896,3.745602,-149.793508,-85.754086
1.159641,3.720099,-149.791309,-85.753989
1.165385,3.694987,-149.789111,-85.753892
1.171129,3.762706,-149.786906,-85.753796
1.176873,3.927795,-149.784714,-85.753698
1.182617,4.009523,-149.782516,-85.753601
1.188361,3.98727,-149.780317,-85.753504
1.194105,3.949579,-149.778119,-85.753407
1.199849,3.913607,-149.775921,-85.753311
1.205593,3.879732,-149.773723,-85.753214
1.211337,3.847564,-149.77152,-85.753117
1.217081,3.816401,-149.769322,-85.753021
1.222825,3.787106,-149.767124,-85.752924
1.228569,3.645259,-149.764927,-85.752827
1.234313,3.045503,-149.762735,-85.752729
1.240057,2.434606,-149.760538,-85.752632
1.245801,2.295524,-149.758341,-85.752535
1.251545,2.307627,-149.756144,-85.752438
1.257289,2.319972,-149.753941,-85.752342
1.263033,2.332286,-149.751744,-85.752245
1.268777,2.345008,-149.749553,-85.752147
1.274521,2.35807,-149.747351,-85.752051
1.280265,2.371264,-149.74516,-85.751953
1.286009,2.384584,-149.742957,-85.751857
1.291753,3.284304,-149.740767,-85.751759
1.297497,4.922816,-149.738565,-85.751663
1.303241,5.717484,-149.736374,-85.751565
1.308985,5.828017,-149.734178,-85.751468
1.314729,5.871664,-149.731982,-85.751371
1.320473,5.918842,-149.729786,-85.751274
1.326217,5.968976,-149.727585,-85.751178
1.331961,6.022573,-149.725395,-85.75108
1.337705,6.079525,-149.723193,-85.750984
1.343449,6.139578,-149.720998,-85.750887
1.349193,6.117654,-149.718803,-85.75079
1.354937,5.785456,-149.716613,-85.750692
1.360681,5.456147,-149.714412,-85.750595
1.366425,5.389705,-149.712223,-85.750498
1.372169,5.365182,-149.710022,-85.750401
1.377913,5.34096,-149.707833,-85.750303
1.383657,5.317344,-149.705638,-85.750206
1.389401,5.293758,-149.703444,-85.750109
1.395145,5.270238,-149.701243,-85.750013
1.400889,5.247601,-149.699054,-85.749915
1.406633,5.22494,-149.696854,-85.749819
1.409505,5.22494,-149.695763,-85.749769
1.415249,5.368602,-149.693306,-85.749716
1.420993,5.466563,-149.690855,-85.749663
1.426737,5.449819,-149.688404,-85.749609
1.432481,5.386822,-149.685957,-85.749554
1.438225,5.32449,-149.683503,-85.749501
1.443969,5.263829,-149.681052,-85.749448
1.449714,5.205232,-149.678601,-85.749394
1.455458,5.147528,-149.676151,-85.74934
1.461202,5.091399,-149.6737,-85.749286
1.466946,5.037352,-149.67125,-85.749232
1.47269,4.897593,-149.6688,-85.749179
1.478434,4.52068,-149.666349,-85.749125
1.484178,4.176538,-149.663899,-85.749071
1.486323,4.176538,-149.662984,-85.749051
1.492067,4.064498,-149.660696,-85.748967
1.497811,4.020124,-149.658408,-85.748882
1.503555,3.993148,-149.656119,-85.748798
1.509299,3.983974,-149.653839,-85.748713
1.515043,3.993193,-149.651544,-85.748629
1.520787,4.020423,-149.649263,-85.748544
1.526531,4.064282,-149.646975,-85.748459
1.532275,4.069623,-149.644688,-85.748375
1.538019,3.922465,-149.6424,-85.748291
1.543763,3.754496,-149.640113,-85.748206
1.549507,3.691358,-149.637818,-85.748123
1.555251,3.652791,-149.635531,-85.748039
1.560995,3.640512,-149.633251,-85.747953
1.566739,3.654774,-149.630957,-85.74787
1.572483,3.695674,-149.62867,-85.747785
1.578227,3.762638,-149.62639,-85.7477
1.583971,3.853184,-149.624096,-85.747616
1.589715,3.966444,-149.621816,-85.747531
1.595459,3.938945,-149.619522,-85.747448
1.601203,3.808605,-149.617236,-85.747363
1.606947,3.762685,-149.614949,-85.747279
1.612691,3.756022,-149.612663,-85.747194
1.618435,3.749933,-149.610384,-85.747109
1.624179,3.744002,-149.608091,-85.747025
1.629923,3.737564,-149.605812,-85.74694
1.635667,3.731194,-149.603526,-85.746855
1.641411,3.72503,-149.601233,-85.746772
1.647155,3.718047,-149.598954,-85.746686
1.652899,3.580665,-149.596668,-85.746602
1.658643,3.154683,-149.594375,-85.746518
1.664387,2.906879,-149.592097,-85.746433
1.670131,2.975341,-149.589812,-85.746348
1.675875,3.045734,-149.587526,-85.746264
1.681619,3.117973,-149.585241,-85.746179
1.687363,3.192349,-149.582956,-85.746094
1.693107,3.268054,-149.580671,-85.74601
1.698851,3.344758,-149.578386,-85.745925
1.699554,3.344758,-149.578106,-85.745915
1.705298,3.444993,-149.575559,-85.745896
1.711042,3.549171,-149.57302,-85.745876
1.716786,3.723251,-149.57048,-85.745857
1.72253,3.973263,-149.567941,-85.745837
1.728274,4.032275,-149.565401,-85.745817
1.734018,3.955693,-149.562862,-85.745797
1.739762,3.926203,-149.560322,-85.745777
1.745506,3.91177,-149.557783,-85.745757
1.75125,3.975731,-149.555243,-85.745737
1.756994,4.075822,-149.552704,-85.745718
1.762738,4.196162,-149.550165,-85.745698
1.768482,4.338761,-149.547625,-85.745678
1.774226,4.482699,-149.545086,-85.745658
1.77997,4.568424,-149.542547,-85.745638
1.785714,4.459203,-149.540007,-85.745618
1.791458,4.285081,-149.537468,-85.745598
1.797202,4.254342,-149.534929,-85.745578
1.802946,4.296214,-149.53239,-85.745558
1.80869,4.338118,-149.52985,-85.745538
1.814434,4.38001,-149.527311,-85.745518
1.820178,4.422685,-149.524772,-85.745498
1.825922,4.465346,-149.522233,-85.745478
1.831666,4.507109,-149.519694,-85.745458
1.836085,4.549662,-149.517741,-85.745443
1.841829,4.579921,-149.515219,-85.745413
1.847573,4.603373,-149.512697,-85.745384
1.853317,4.625589,-149.510175,-85.745354
1.859061,4.686447,-149.507653,-85.745325
1.864805,4.70234,-149.505131,-85.745295
1.870549,4.567452,-149.502609,-85.745266
1.876293,4.430466,-149.500087,-85.745236
1.882037,4.126528,-149.497565,-85.745207
1.887781,3.841688,-149.495043,-85.745177
1.893525,3.860221,-149.492521,-85.745147
1.899269,3.821241,-149.49,-85.745118
1.905013,3.823888,-149.487478,-85.745088
1.910757,3.420033,-149.484956,-85.745059
1.916501,1.986807,-149.482434,-85.745029
1.922245,0.99386,-149.479913,-85.744999
1.927989,1.076947,-149.477391,-85.74497
1.933733,1.290667,-149.47487,-85.74494
1.939477,1.511107,-149.472348,-85.74491
1.945221,1.734691,-149.469827,-85.744881
1.945951,1.734691,-149.469506,-85.744877
1.951695,1.983353,-149.466957,-85.744867
1.957439,2.213481,-149.464408,-85.744856
1.963183,2.443884,-149.461859,-85.744846
1.968927,2.674392,-149.45931,-85.744835
1.974671,2.920847,-149.45676,-85.744825
1.980415,3.352055,-149.454211,-85.744814
1.986159,3.813754,-149.451662,-85.744804
1.991903,4.025284,-149.449113,-85.744794
1.997647,4.135205,-149.446564,-85.744783
1.998808,4.135205,-149.446049,-85.744781
2.004552,4.250373,-149.443706,-85.744706
2.010297,4.33754,-149.44135,-85.744633
2.016041,4.426038,-149.439,-85.744559
2.021785,4.514611,-149.436657,-85.744484
2.027529,4.603906,-149.434308,-85.744409
2.033273,4.694337,-149.431952,-85.744336
2.039017,4.7666,-149.42961,-85.744261
2.044761,4.755435,-149.427254,-85.744188
2.050505,4.694802,-149.424912,-85.744113
2.056249,4.650363,-149.422563,-85.744039
2.061993,4.607332,-149.420214,-85.743965
2.067737,4.565157,-149.417865,-85.743891
2.073481,4.524273,-149.41551,-85.743818
2.079225,4.482037,-149.413161,-85.743743
2.084969,4.416441,-149.410819,-85.743668
2.090713,4.330475,-149.408471,-85.743594
2.096457,4.248446,-149.406123,-85.74352
2.102201,3.902346,-149.403774,-85.743446
2.107945,3.528991,-149.401426,-85.743371
2.113689,3.425868,-149.399078,-85.743297
2.119433,3.39426,-149.39673,-85.743223
2.125177,3.355736,-149.394382,-85.743149
2.130921,3.314215,-149.392028,-85.743076
2.136665,3.297275,-149.389687,-85.743
2.142409,3.302768,-149.387339,-85.742926
2.148153,3.31069,-149.384985,-85.742853
2.153897,3.318271,-149.382644,-85.742777
2.159641,3.41535,-149.380296,-85.742703
2.165385,3.805252,-149.377949,-85.742629
2.171129,4.121277,-149.375595,-85.742556
2.176873,4.135961,-149.373255,-85.74248
2.182617,4.163592,-149.370907,-85.742406
2.188361,4.191155,-149.36856,-85.742332
2.194105,4.218837,-149.366213,-85.742257
2.199849,4.246603,-149.363867,-85.742183
2.205593,4.274238,-149.36152,-85.742109
2.211337,4.302661,-149.359167,-85.742036
2.217081,4.329689,-149.356826,-85.74196
2.222825,4.266164,-149.35448,-85.741886
2.228569,4.17879,-149.352133,-85.741811
2.234313,4.181309,-149.349787,-85.741737
2.240057,4.212254,-149.347441,-85.741663
2.245801,4.243552,-149.345095,-85.741588
2.251545,4.275355,-149.342742,-85.741515
2.257289,4.306531,-149.340402,-85.74144
2.263033,4.337997,-149.338057,-85.741365
2.268778,4.369875,-149.335711,-85.741291
2.274522,4.401637,-149.333365,-85.741216
2.280266,4.395936,-149.331019,-85.741142
2.28601,4.280676,-149.328673,-85.741068
2.291754,4.206111,-149.326328,-85.740993
2.297498,4.234834,-149.323982,-85.740919
2.303242,4.263115,-149.321637,-85.740844
2.308986,4.291068,-149.319292,-85.74077
2.31473,4.318803,-149.316947,-85.740695
2.320474,4.346656,-149.314601,-85.740621
2.326218,4.374517,-149.312256,-85.740546
2.331962,4.402486,-149.309905,-85.740473
2.337706,4.428238,-149.307566,-85.740398
2.34345,4.80347,-149.305222,-85.740323
2.349194,5.363682,-149.302871,-85.74025
2.354938,5.50888,-149.300532,-85.740174
2.360682,5.481898,-149.298188,-85.740099
2.366426,5.45387,-149.295843,-85.740025
2.37217,5.425916,-149.293492,-85.739952
2.377914,5.39824,-149.291154,-85.739876
2.383658,5.370486,-149.28881,-85.739801
2.389402,5.342639,-149.286466,-85.739727
2.395146,5.3152,-149.284116,-85.739653
2.40089,5.172751,-149.281778,-85.739578
